R998011,R615810
R709536,R428163
R993747,R353727
R672312,R700285
R451447,R436690
R496888,R133341
R998255,R592829
R914806,R274842
R703803,R948534
R482867,R444007
R102380,R260734
R266678,R345126
R393140,R253088
R690748,R888200
R588401,R366705
R253165,R226607
R334612,R117811
R622405,R247255
R532436,R208897
R582779,R806176
R790680,R753815
R769800,R222010
R874401,R956871
R176789,R907915
R534331,R133879
R226591,R898525
R121659,R456201
R943691,R401998
R414418,R532685
R467648,R407022
R905513,R837197
R961673,R719194
R424475,R111601
R807692,R657311
R147561,R312939
R698958,R273102
R795732,R820811
R994582,R339838
R767498,R533451
R878839,R109892
R552268,R970118
R642039,R699169
R200218,R996320
R440609,R521405
R932640,R982844
R970387,R622307
R824386,R543400
R465639,R206350
R574013,R226524
R473119,R994129
R451644,R370509
R809569,R704539
R580036,R354049
R725915,R753115
R366046,R130379
R676213,R664118
R646102,R963843
R310161,R399754
R889549,R616802
R104751,R178222
R191381,R176901
R520891,R332045
R657950,R300190
R569365,R403731
R435939,R161138
R755789,R591251
R386229,R152332
R530105,R559568
R967057,R513236
R409914,R887365
R839567,R264187
R150694,R397240
R768535,R502815
R176927,R522008
R343714,R440023
R121965,R424496
R374946,R846580
R365932,R722657
R101321,R152514
R969399,R916473
R736279,R112351
R776862,R629630
R253910,R463986
R159657,R781659
R930367,R381430
R602679,R223403
R281518,R438349
R339744,R188073
R704392,R252521
R202570,R136385
R118360,R928746
R398205,R501628
R534998,R279010
R505881,R294828
R918769,R543420
R907756,R705251
R575935,R461048
R707064,R992149
R471633,R590325
R211598,R651031
R695795,R807418
R114720,R907120
R750809,R423548
R140746,R262825
R980854,R219292
R947281,R111429
R133033,R443005
R361263,R717742
R657931,R885751
R519419,R555795
R220431,R764790
R462444,R843062
R829745,R542760
R997423,R931257
R975835,R905647
R812571,R986885
R910955,R597705
R252289,R806752
R711802,R801622
R442143,R807753
R232620,R366005
R949321,R243763
R882986,R561354
R363008,R726406
R491431,R160541
R488626,R337905
R308714,R281596
R744065,R152872
R379219,R363910
R487076,R274976
R416383,R894366
R657304,R612589
R729358,R901217
R816823,R536663
R342402,R227730
R859093,R501604
R496765,R469600
R893983,R854071
R876039,R369855
R760790,R664473
R995005,R447025
R744028,R924360
R540912,R996602
R693909,R766130
R828840,R241576
R322303,R447885
R694181,R323952
R438121,R387673
R196048,R835713
R315680,R415438
R461219,R870078
R315091,R916564
R344015,R155478
R459777,R849436
R261969,R768713
R691172,R427335
R752028,R274446
R585310,R780529
R672010,R186348
R927052,R151511
R409985,R759249
R801973,R917359
R764666,R973511
R653198,R589284
R816241,R792345
R335925,R177747
R551062,R630911
R417117,R410313
R387386,R345956
R464821,R264553
R142291,R274236
R493244,R602081
R753680,R225341
R204100,R852588
R989457,R431370
R151581,R789302
R476276,R510774
R735276,R211718
R877588,R391796
R458505,R210077
R631820,R697581
R972004,R999096
R434185,R545796
R925588,R361498
R770719,R835352
R312624,R684148
R926990,R982768
R362952,R324597
R950233,R838934
R830641,R585711
R401268,R850615
R368240,R204352
R835875,R224939
R225560,R632269
R515953,R658085
R332619,R731380
R532306,R105761
R868180,R561272
R804507,R590332
R775194,R124444
R199201,R264462
R405404,R155175
R235745,R596153
R281178,R435671
R133503,R942915
R118841,R543190
R547270,R608378
R953727,R252761
R255659,R767314
R493188,R304371
R301357,R730732
R498074,R873250
R494729,R319450
R911577,R499263
R262230,R805169
R512005,R102825
R512286,R396601
R283775,R624958
R106926,R758461
R152524,R625881
R432916,R624904
R671594,R574789
R522320,R310270
R707650,R371000
R134481,R461706
R831487,R339349
R132692,R229038
R576491,R755087
R467665,R284871
R118988,R627033
R938230,R989495
R768225,R938298
R585360,R196178
R263182,R910456
R443465,R535872
R474247,R883638
R690556,R511520
R477796,R755931
R839571,R973505
R160684,R144616
R405455,R463926
R727038,R923302
R104924,R862163
R233367,R649394
R600692,R338131
R655019,R655163
R603877,R352062
R598353,R246575
R334485,R106345
R758651,R307575
R183824,R321599
R779404,R260847
R232219,R977566
R140586,R159469
R634943,R871727
R788216,R116506
R403416,R817668
R556711,R873533
R851039,R837137
R578347,R690821
R923487,R613535
R937333,R835391
R107646,R903204
R780700,R220325
R410274,R548710
R808406,R830436
R663671,R684503
R210481,R343762
R592023,R756266
R487689,R339114
R199338,R871884
R242358,R190335
R973898,R697233
R329918,R903631
R150354,R214966
R997643,R748966
R812843,R186358
R526914,R409498
R699491,R374803
R129147,R635414
R268520,R765502
R229130,R483023
R120962,R810175
R888337,R551651
R903309,R656964
R979572,R555964
R768270,R664153
